bin(1s),avg(@duration),max(@duration),min(@duration)
2024-08-06 17:49:16.000,1088.666,1088.666,1088.666
2024-08-06 17:49:15.000,1029.3873,1116.962,917.339
2024-08-06 17:49:14.000,989.584,1064.769,901.444
2024-08-06 17:49:13.000,1013.3835,1113.118,905.052
2024-08-06 17:48:58.000,948.628,948.628,948.628
2024-08-06 17:48:57.000,948.684,948.684,948.684
2024-08-06 17:48:56.000,982.9268,1082.647,919.734
2024-08-06 17:48:55.000,978.9501,1059.922,899.509
2024-08-06 17:48:54.000,990.8252,1101.596,951.195
2024-08-06 17:48:53.000,936.776,936.776,936.776
2024-08-06 17:48:36.000,1076.881,1076.881,1076.881
2024-08-06 17:48:35.000,974.978,1042.567,907.389
2024-08-06 17:48:34.000,1176.8462,2128.127,917.822
2024-08-06 17:48:33.000,928.189,932.93,925.628
2024-08-06 17:48:32.000,940.4983,1022.595,887.147
2024-08-06 17:48:31.000,1003.4065,1097.942,945.157
2024-08-06 17:48:12.000,945.812,945.812,945.812
2024-08-06 17:48:11.000,968.4787,1088.299,908.647
2024-08-06 17:48:10.000,1003.7492,1106.376,908.678
2024-08-06 17:48:09.000,1002.4131,1106.981,922.326
2024-08-06 17:48:08.000,962.4585,981.874,943.043
2024-08-06 17:47:51.000,932.206,956.893,907.519
2024-08-06 17:47:50.000,1008.3823,1107.85,934.897
2024-08-06 17:47:49.000,1029.3269,1093.244,967.41
2024-08-06 17:47:48.000,1002.8978,1137.964,897.422
2024-08-06 17:47:32.000,1124.282,1124.282,1124.282
2024-08-06 17:47:31.000,2105.0777,2210.712,1918.163
2024-08-06 17:47:30.000,1249.6005,1882.412,917.924
2024-08-06 17:47:29.000,1013.9492,1102.957,934.322
2024-08-06 17:47:28.000,980.6295,1072.078,889.181
2024-08-06 17:47:14.000,2142.586,2142.586,2142.586
2024-08-06 17:47:13.000,1832.319,1832.319,1832.319
2024-08-06 17:47:12.000,2022.1,2131.165,1913.035
2024-08-06 17:47:11.000,1039.3638,1074.748,925.63
2024-08-06 17:47:10.000,974.4823,1080.113,901.243
2024-08-06 17:46:57.000,2134.656,2134.656,2134.656
2024-08-06 17:46:56.000,1603.949,2135.378,1072.52
2024-08-06 17:46:55.000,1902.2915,1974.556,1830.027
2024-08-06 17:46:54.000,1856.5288,2215.86,965.147
2024-08-06 17:46:53.000,989.031,1090.593,933.115
2024-08-06 17:46:41.000,930.668,930.668,930.668
2024-08-06 17:46:40.000,2095.3953,2220.197,1875.702
2024-08-06 17:46:38.000,1685.2197,2096.332,1088.288
2024-08-06 17:46:37.000,1084.473,1084.473,1084.473
2024-08-06 17:46:36.000,1542.8215,2124.822,960.821
2024-08-06 17:46:35.000,1042.5992,1084.951,934.758
2024-08-06 17:46:19.000,1574.0635,2118.686,1029.441
2024-08-06 17:46:18.000,1564.383,2160.093,968.673
2024-08-06 17:46:17.000,1262.824,2229.494,949.867
2024-08-06 17:46:16.000,1494.021,2323.465,1030.634
2024-08-06 17:46:15.000,1172.8735,1177.073,1168.674
2024-08-06 17:46:14.000,1016.0775,1016.173,1015.982